vfreq,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v21,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v93,v51,v52,v53
1,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,9,0,2,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,9,0,0,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,2,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0,2,1,11,0,0,8,0,0,2,2,-1,0,1,0,0,0,1,0,1,0,0,-1,0,0,0,0,-1,3,15,1,1,1
1,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,13,0,2,2,0,0,2,1,-1,0,1,0,0,0,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,3,0,2,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,9,0,2,2,0,1,2,1,-1,0,1,0,0,-1,1,0,1,1,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,2,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,9,0,0,2,0,0,2,0,-1,-1,1,1,0,-1,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,1,3,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,3,0,2,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,0,0,-1,1,0,1,1,-1,3,14,1,1,1
1,2,3,0,1,0,0,3,1,0,0,0,0,1,1,0,0,2,1,2,0,0,8,0,0,2,2,-1,-1,1,0,0,-1,1,0,1,0,0,-1,0,0,0,0,-1,3,15,1,1,1
2,1,3,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,11,0,2,2,0,0,2,0,-1,0,1,1,0,0,1,0,1,2,0,-1,1,0,1,1,0,3,14,1,1,1
2,2,3,0,1,0,0,3,1,0,0,0,0,1,1,0,0,2,1,9,0,0,8,0,0,2,2,-1,-1,1,0,0,-1,1,0,1,0,0,-1,0,0,0,0,-1,3,15,1,1,1
1,1,2,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,9,0,2,2,0,0,2,1,-1,-1,1,0,0,-1,1,0,1,1,0,-1,1,0,1,1,-1,2,13,1,1,1
1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,9,0,2,2,0,0,1,1,-1,0,1,0,0,-1,1,1,1,0,0,-1,1,0,0,1,-1,2,12,1,1,1
