GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
True,Adolescent,Wealthy,Adventurous,Current,None,Football,Moderate,SportsCar,Excellent,FiftyThou,True,Expert,False,Million,True,FiveThou,Rural,True,HundredThou,TenThou,False,TenThou,Excellent,True,Million,Many
False,Senior,Prole,Cautious,Older,Moderate,EggShell,Moderate,Economy,Poor,FiveThou,True,Normal,True,HundredThou,True,FiftyThou,Secure,True,HundredThou,Million,False,Thousand,Excellent,True,TenThou,Zero
True,Adolescent,Prole,Adventurous,Older,None,Football,Severe,FamilySedan,Excellent,FiveThou,True,Expert,False,HundredThou,True,FiftyThou,Secure,True,Million,Million,False,Million,Fair,True,Million,One
False,Adult,Wealthy,Normal,Older,Severe,EggShell,Severe,SportsCar,Excellent,FiveThou,True,Expert,True,TenThou,True,Million,Suburb,True,TenThou,Million,False,TenThou,Fair,True,TenThou,Zero
False,Adolescent,Wealthy,Adventurous,Older,Mild,EggShell,Severe,SportsCar,Excellent,FiveThou,True,Expert,True,TenThou,True,FiftyThou,Rural,True,Million,Million,False,Thousand,Poor,True,Million,One
True,Adult,Wealthy,Psychopath,Older,None,Football,Severe,SportsCar,Excellent,FiveThou,True,Expert,False,HundredThou,True,FiftyThou,City,False,Thousand,TenThou,False,Million,Poor,False,TenThou,Many
False,Adult,Prole,Normal,Older,Mild,EggShell,Severe,FamilySedan,Excellent,FiveThou,True,Expert,True,Million,True,FiftyThou,Suburb,True,TenThou,Million,False,Million,Fair,True,TenThou,Zero
False,Adult,Prole,Cautious,Older,Mild,EggShell,Severe,FamilySedan,Excellent,Domino,True,Expert,True,TenThou,False,Million,Rural,True,TenThou,HundredThou,False,Million,Excellent,True,TenThou,Zero
False,Adolescent,Prole,Adventurous,Older,None,EggShell,Moderate,FamilySedan,Excellent,FiveThou,True,Expert,True,Million,True,FiftyThou,Rural,True,Million,HundredThou,False,Million,Excellent,True,Million,One
True,Adolescent,Prole,Adventurous,Older,Moderate,Football,Moderate,FamilySedan,Excellent,FiveThou,True,Expert,False,HundredThou,True,FiftyThou,Secure,True,HundredThou,HundredThou,True,Million,Excellent,True,Million,One
True,Adult,Prole,Normal,Older,Severe,Football,Severe,SportsCar,Normal,FiveThou,True,Expert,False,Million,True,Million,Suburb,True,TenThou,Million,False,TenThou,Fair,True,TenThou,Many
True,Adolescent,Wealthy,Cautious,Current,Severe,Football,Severe,SportsCar,Excellent,FiftyThou,True,Expert,False,Million,True,TenThou,Rural,True,Million,TenThou,True,Million,Excellent,False,HundredThou,Many
False,Adult,Prole,Cautious,Older,Severe,EggShell,Severe,FamilySedan,Excellent,FiveThou,True,Expert,True,Million,True,Million,Rural,True,TenThou,Million,False,Million,Excellent,True,TenThou,Zero
False,Adult,Prole,Normal,Older,Mild,EggShell,Severe,FamilySedan,Excellent,FiveThou,True,Expert,True,Million,True,FiftyThou,Suburb,True,Thousand,TenThou,False,Million,Fair,True,TenThou,Zero
True,Adult,Prole,Cautious,Current,Severe,Football,Severe,FamilySedan,Excellent,FiftyThou,True,Expert,False,TenThou,True,Million,Suburb,True,Thousand,TenThou,False,Million,Fair,True,TenThou,Many
True,Adult,UpperMiddle,Normal,Older,Severe,Football,Severe,SportsCar,Excellent,Domino,True,Expert,False,TenThou,True,Million,Suburb,True,Thousand,TenThou,False,Thousand,Poor,False,TenThou,Many
False,Adolescent,Prole,Normal,Older,None,EggShell,Moderate,FamilySedan,Excellent,Domino,True,Expert,True,TenThou,True,Million,Secure,True,Thousand,HundredThou,False,Million,Excellent,True,TenThou,Zero
False,Adolescent,Prole,Normal,Older,None,EggShell,Severe,Economy,Poor,Domino,True,Normal,True,HundredThou,True,FiftyThou,Secure,True,Thousand,TenThou,False,Thousand,Excellent,True,Thousand,Zero
True,Adult,Wealthy,Cautious,Current,Mild,Football,Moderate,SuperLuxury,Excellent,FiftyThou,True,Expert,False,TenThou,False,TenThou,Rural,True,TenThou,HundredThou,False,TenThou,Poor,False,TenThou,Many
False,Adolescent,Prole,Cautious,Current,None,EggShell,Mild,FamilySedan,Excellent,FiveThou,True,Expert,True,HundredThou,True,Million,Secure,True,HundredThou,HundredThou,False,Million,Poor,True,TenThou,Zero
False,Adolescent,Prole,Normal,Older,Moderate,EggShell,Moderate,FamilySedan,Excellent,FiveThou,True,Expert,True,Million,True,FiftyThou,Rural,True,Million,HundredThou,False,Million,Excellent,True,Thousand,Zero
True,Adolescent,Prole,Cautious,Current,Moderate,Football,Moderate,SuperLuxury,Excellent,FiftyThou,True,Expert,False,HundredThou,True,FiftyThou,Secure,True,HundredThou,HundredThou,False,Million,Poor,False,HundredThou,Many
False,Adolescent,Wealthy,Normal,Older,Severe,EggShell,Severe,SportsCar,Excellent,FiveThou,True,Expert,False,TenThou,True,TenThou,City,False,Thousand,TenThou,False,TenThou,Excellent,True,TenThou,Zero
True,Adult,Prole,Normal,Older,Severe,Football,Severe,FamilySedan,Excellent,Domino,True,Expert,False,Million,True,Million,Rural,True,Million,Million,False,Million,Excellent,True,Thousand,Many
